metric,value
rate_L_MN_E,0.000
rate_L_MN_F,0.000
rate_L_V0_D,38.203
rate_L_V0_V,38.020
rate_L_V1,0.795
rate_L_V2a,0.000
rate_L_V2b,37.963
rate_L_V3,25.094
rate_R_MN_E,0.000
rate_R_MN_F,0.000
rate_R_V0_D,37.929
rate_R_V0_V,38.200
rate_R_V1,0.798
rate_R_V2a,0.000
rate_R_V2b,38.069
rate_R_V3,25.080
mn_L_mean_hz,0.000
mn_R_mean_hz,0.000
AmpAI,0.000
