metric,value
rate_L_MN_E,0.867
rate_L_MN_F,3.648
rate_L_V0_D,0.000
rate_L_V0_V,0.000
rate_L_V1,0.000
rate_L_V2a,0.000
rate_L_V2b,0.000
rate_L_V3,0.000
rate_R_MN_E,0.000
rate_R_MN_F,14.000
rate_R_V0_D,28.034
rate_R_V0_V,28.689
rate_R_V1,14.000
rate_R_V2a,15.324
rate_R_V2b,28.609
rate_R_V3,28.000
mn_L_mean_hz,4.514
mn_R_mean_hz,14.000
AmpAI,0.678
